date,confirmed,deaths
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,2,0
2020-02-29,2,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,3,0
2020-03-05,7,0
2020-03-06,14,0
2020-03-07,19,0
2020-03-08,25,0
2020-03-09,25,0
2020-03-10,34,0
2020-03-11,53,0
2020-03-12,89,0
2020-03-13,106,0
2020-03-14,142,0
2020-03-15,225,0
2020-03-16,279,0
2020-03-17,333,1
2020-03-18,514,4
2020-03-19,643,7
2020-03-20,974,11
2020-03-21,1198,18
2020-03-22,1594,25
2020-03-23,1952,34
2020-03-24,2255,47
2020-03-25,2566,59
2020-03-26,2990,77
2020-03-27,3476,93
2020-03-28,3955,115
2020-03-29,4315,139
2020-03-30,4663,166
2020-03-31,5824,202
2020-04-01,6931,244
2020-04-02,8100,305
2020-04-03,9212,365
2020-04-04,10381,445
2020-04-05,11424,497
2020-04-06,12262,570
2020-04-07,14083,691
2020-04-08,16258,826
2020-04-09,18195,959
2020-04-10,19937,1073
2020-04-11,20992,1141
2020-04-12,22456,1237
2020-04-13,23868,1357
2020-04-14,25777,1557
2020-04-15,29019,1760
2020-04-16,31101,1962
2020-04-17,34397,2173
2020-04-18,37175,2375
2020-04-19,39197,2491
2020-04-20,40937,2598
2020-04-21,43679,2772
2020-04-22,46419,2941
2020-04-23,50298,3349
2020-04-24,54208,3722
2020-04-25,59507,4074
2020-04-26,63222,4301
2020-04-27,67367,4606
2020-04-28,73598,5094
2020-04-29,79799,5537
2020-04-30,87121,5980
2020-05-01,92665,6439
2020-05-02,97578,6810
2020-05-03,102023,7077
2020-05-04,109005,7381
2020-05-05,116412,7972
2020-05-06,126951,8597
2020-05-07,136687,9272
2020-05-08,147089,10026
2020-05-09,157251,10697
2020-05-10,163510,11175
2020-05-11,169729,11660
2020-05-12,179333,12502
2020-05-13,191028,13280
2020-05-14,205158,14069
2020-05-15,220620,14983
2020-05-16,234675,15702
2020-05-17,242344,16202
2020-05-18,256899,16924
2020-05-19,274382,18074
2020-05-20,294603,19059
2020-05-21,312746,20128
2020-05-22,334544,21159
2020-05-23,351554,22205
2020-05-24,366031,22863
2020-05-25,378810,23589
2020-05-26,395133,24644
2020-05-27,415331,25704
2020-05-28,443664,26893
2020-05-29,470554,28031
2020-05-30,502874,28895
2020-05-31,516096,29365
2020-06-01,531245,30107
2020-06-02,562917,31471
2020-06-03,589002,32665
2020-06-04,620952,34175
2020-06-05,653050,35251
2020-06-06,676840,36052
2020-06-07,694825,36528
2020-06-08,712160,37391
2020-06-09,743852,38584
2020-06-10,777641,39820
2020-06-11,806399,41089
2020-06-12,830654,41931
2020-06-13,851843,42788
2020-06-14,868635,43422
2020-06-15,893251,44186
2020-06-16,930233,45518
2020-06-17,961153,46703
2020-06-18,986670,47940
2020-06-19,1042725,49112
2020-06-20,1071579,50094
2020-06-21,1088145,50703
2020-06-22,1114633,51438
2020-06-23,1154133,52843
2020-06-24,1195186,53953
2020-06-25,1236650,55126
2020-06-26,1281531,56118
2020-06-27,1318449,57153
2020-06-28,1351439,57753
2020-06-29,1372878,58467
2020-06-30,1412558,59781
2020-07-01,1459383,60867
2020-07-02,1503781,62125
2020-07-03,1546819,63338
2020-07-04,1580385,64395
2020-07-05,1605577,64954
2020-07-06,1630029,65637
2020-07-07,1676725,66936
2020-07-08,1721974,68109
2020-07-09,1764930,69331
2020-07-10,1809240,70630
2020-07-11,1844186,71561
2020-07-12,1867843,72178
2020-07-13,1890382,73010
2020-07-14,1933152,74311
2020-07-15,1973716,75582
2020-07-16,2017554,76902
2020-07-17,2052234,78025
2020-07-18,2077928,78869
2020-07-19,2101144,79572
2020-07-20,2124152,80346
2020-07-21,2171079,81663
2020-07-22,2237229,82959
2020-07-23,2294555,84272
2020-07-24,2351305,85414
2020-07-25,2398833,86522
2020-07-26,2421503,87093
2020-07-27,2449501,87777
2020-07-28,2503496,89034
2020-07-29,2558935,90232
2020-07-30,2617096,91434
2020-07-31,2670238,92705
2020-08-01,2711763,93642
2020-08-02,2735981,94177
2020-08-03,2755928,94775
2020-08-04,2811939,96096
2020-08-05,2868616,97487
2020-08-06,2922350,98712
2020-08-07,2972008,99796
2020-08-08,3018122,100621
2020-08-09,3040863,101189
2020-08-10,3067485,101978
2020-08-11,3118070,103159
2020-08-12,3172946,104350
2020-08-13,3233770,105578
2020-08-14,3283227,106591
2020-08-15,3320078,107321
2020-08-16,3343114,107915
2020-08-17,3367250,108700
2020-08-18,3416112,110047
2020-08-19,3464419,111203
2020-08-20,3507370,112439
2020-08-21,3539936,113503
2020-08-22,3586055,114331
2020-08-23,3607890,114787
2020-08-24,3631014,115494
2020-08-25,3677303,116698
2020-08-26,3725436,117782
2020-08-27,3767790,118766
2020-08-28,3811784,119611
2020-08-29,3849381,120520
2020-08-30,3864046,120919
2020-08-31,3913910,121558
2020-09-01,3958085,122717
2020-09-02,4004680,123920
2020-09-03,4051501,124791
2020-09-04,4091389,125638
2020-09-05,4125264,126245
