date,state,confirmed,deaths
2020-02-25,SP,1,0
2020-02-26,SP,1,0
2020-02-27,SP,1,0
2020-02-28,SP,2,0
2020-02-29,SP,2,0
2020-03-01,SP,2,0
2020-03-02,SP,2,0
2020-03-03,SP,2,0
2020-03-04,SP,3,0
2020-03-05,RJ,1,0
2020-03-05,SP,6,0
2020-03-06,BA,1,0
2020-03-06,ES,1,0
2020-03-06,RJ,2,0
2020-03-06,SP,10,0
2020-03-07,BA,2,0
2020-03-07,DF,1,0
2020-03-07,ES,1,0
2020-03-07,RJ,2,0
2020-03-07,SP,13,0
2020-03-08,AL,1,0
2020-03-08,BA,2,0
2020-03-08,DF,1,0
2020-03-08,ES,1,0
2020-03-08,MG,1,0
2020-03-08,RJ,3,0
2020-03-08,SP,16,0
2020-03-09,AL,1,0
2020-03-09,BA,2,0
2020-03-09,DF,1,0
2020-03-09,ES,1,0
2020-03-09,MG,1,0
2020-03-09,RJ,3,0
2020-03-09,SP,16,0
2020-03-10,AL,1,0
2020-03-10,BA,2,0
2020-03-10,DF,1,0
2020-03-10,ES,1,0
2020-03-10,MG,1,0
2020-03-10,RJ,8,0
2020-03-10,RS,1,0
2020-03-10,SP,19,0
2020-03-11,AL,1,0
2020-03-11,BA,3,0
2020-03-11,DF,2,0
2020-03-11,ES,1,0
2020-03-11,MG,1,0
2020-03-11,RJ,13,0
2020-03-11,RS,2,0
2020-03-11,SP,30,0
2020-03-12,AL,1,0
2020-03-12,BA,3,0
2020-03-12,DF,2,0
2020-03-12,ES,1,0
2020-03-12,GO,3,0
2020-03-12,MG,2,0
2020-03-12,PE,2,0
2020-03-12,PR,6,0
2020-03-12,RJ,16,0
2020-03-12,RN,1,0
2020-03-12,RS,4,0
2020-03-12,SC,2,0
2020-03-12,SP,46,0
2020-03-13,AL,1,0
2020-03-13,AM,2,0
2020-03-13,BA,7,0
2020-03-13,DF,2,0
2020-03-13,ES,1,0
2020-03-13,GO,3,0
2020-03-13,MG,2,0
2020-03-13,PE,2,0
2020-03-13,PR,6,0
2020-03-13,RJ,16,0
2020-03-13,RN,1,0
2020-03-13,RS,4,0
2020-03-13,SC,3,0
2020-03-13,SP,56,0
2020-03-14,AL,1,0
2020-03-14,AM,2,0
2020-03-14,BA,7,0
2020-03-14,DF,8,0
2020-03-14,ES,1,0
2020-03-14,GO,4,0
2020-03-14,MG,4,0
2020-03-14,MS,2,0
2020-03-14,PE,7,0
2020-03-14,PR,6,0
2020-03-14,RJ,22,0
2020-03-14,RN,1,0
2020-03-14,RS,6,0
2020-03-14,SC,5,0
2020-03-14,SE,1,0
2020-03-14,SP,65,0
2020-03-15,AL,1,0
2020-03-15,AM,2,0
2020-03-15,BA,9,0
2020-03-15,DF,14,0
2020-03-15,ES,1,0
2020-03-15,GO,4,0
2020-03-15,MG,4,0
2020-03-15,MS,2,0
2020-03-15,PE,8,0
2020-03-15,PR,6,0
2020-03-15,RJ,24,0
2020-03-15,RN,1,0
2020-03-15,RS,6,0
2020-03-15,SC,6,0
2020-03-15,SE,1,0
2020-03-15,SP,136,0
2020-03-16,AL,1,0
2020-03-16,AM,2,0
2020-03-16,BA,10,0
2020-03-16,CE,9,0
2020-03-16,DF,19,0
2020-03-16,ES,1,0
2020-03-16,GO,9,0
2020-03-16,MG,6,0
2020-03-16,MS,4,0
2020-03-16,PE,8,0
2020-03-16,PR,6,0
2020-03-16,RJ,31,0
2020-03-16,RN,1,0
2020-03-16,RS,8,0
2020-03-16,SC,7,0
2020-03-16,SE,5,0
2020-03-16,SP,152,0
2020-03-17,AC,3,0
2020-03-17,AL,1,0
2020-03-17,AM,2,0
2020-03-17,BA,14,0
